,open,high,low,close,volume,money
2014-05-05,2.41,2.41,2.38,2.41,60777805.0,145549104.0
2014-05-06,2.41,2.41,2.38,2.39,69752898.0,167403952.0
2014-05-07,2.39,2.41,2.39,2.41,45107929.0,108261312.0
2014-05-08,2.39,2.43,2.39,2.41,58655820.0,141691312.0
2014-05-09,2.42,2.44,2.41,2.43,64827377.0,157470928.0
2014-05-12,2.43,2.46,2.42,2.45,97794329.0,239121072.0
2014-05-13,2.45,2.45,2.43,2.43,54881039.0,133725792.0
2014-05-14,2.43,2.45,2.42,2.43,53518516.0,130153184.0
2014-05-15,2.43,2.45,2.42,2.44,51895679.0,126447488.0
2014-05-16,2.44,2.45,2.43,2.45,54715255.0,133887120.0
2014-05-19,2.44,2.45,2.42,2.43,61009725.0,148366240.0
2014-05-20,2.44,2.45,2.43,2.44,52112739.0,127029144.0
2014-05-21,2.43,2.45,2.43,2.45,53473068.0,130801344.0
2014-05-22,2.45,2.48,2.45,2.46,66296225.0,163455232.0
2014-05-23,2.46,2.48,2.45,2.48,42181738.0,104079432.0
2014-05-26,2.48,2.48,2.46,2.47,43929102.0,108660752.0
2014-05-27,2.47,2.5,2.47,2.48,62210787.0,154495840.0
2014-05-28,2.48,2.52,2.48,2.51,67809394.0,169771456.0
2014-05-29,2.52,2.53,2.5,2.51,47919038.0,120463080.0
2014-05-30,2.51,2.52,2.5,2.5,67448597.0,168772416.0
2014-06-03,2.5,2.53,2.5,2.52,73093403.0,184447552.0
2014-06-04,2.53,2.53,2.5,2.51,70726253.0,178016464.0
2014-06-05,2.51,2.55,2.5,2.55,106953289.0,271553152.0
2014-06-06,2.55,2.57,2.54,2.54,86640941.0,221037088.0
2014-06-09,2.54,2.59,2.54,2.57,71622076.0,184095040.0
2014-06-10,2.57,2.63,2.57,2.62,136886885.0,356415872.0
2014-06-11,2.62,2.64,2.59,2.62,113395869.0,296021696.0
2014-06-12,2.6,2.62,2.6,2.61,66936147.0,174600016.0
2014-06-13,2.6,2.63,2.6,2.63,90581688.0,237100656.0
2014-06-16,2.63,2.66,2.62,2.66,136767840.0,360544992.0
2014-06-17,2.64,2.66,2.6,2.62,152728880.0,401236800.0
2014-06-18,2.62,2.63,2.6,2.63,156626260.0,409642592.0
2014-06-19,2.62,2.63,2.6,2.61,130693018.0,341008192.0
2014-06-20,2.61,2.62,2.55,2.61,141363885.0,365450432.0
2014-06-23,2.6,2.6,2.58,2.58,72839477.0,188658560.0
2014-06-24,2.58,2.59,2.57,2.59,72523842.0,187063552.0
2014-06-25,2.58,2.58,2.55,2.56,67749969.0,173474624.0
2014-06-26,2.56,2.57,2.55,2.57,63674492.0,163191648.0
2014-06-27,2.57,2.57,2.55,2.57,44224229.0,113335624.0
2014-06-30,2.57,2.58,2.56,2.57,40489976.0,104236376.0
2014-07-01,2.57,2.58,2.56,2.57,57206096.0,146999040.0
2014-07-02,2.57,2.59,2.56,2.58,56697450.0,146051280.0
2014-07-03,2.57,2.6,2.57,2.59,53168659.0,137321664.0
2014-07-04,2.59,2.6,2.58,2.59,45936403.0,118962208.0
2014-07-07,2.59,2.61,2.58,2.61,50957029.0,132560960.0
2014-07-08,2.61,2.63,2.6,2.63,74060899.0,194092160.0
2014-07-09,2.63,2.63,2.59,2.59,55037532.0,143592608.0
2014-07-10,2.59,2.62,2.58,2.61,74791966.0,194960640.0
2014-07-11,2.6,2.63,2.6,2.6,38252318.0,99891840.0
2014-07-14,2.61,2.62,2.6,2.61,63305539.0,164956048.0
2014-07-15,2.62,2.63,2.6,2.63,77702885.0,203120144.0
2014-07-16,2.62,2.63,2.61,2.62,57603872.0,150728352.0
2014-07-17,2.61,2.61,2.6,2.61,46405534.0,120865504.0
2014-07-18,2.6,2.62,2.6,2.61,55282873.0,144061824.0
2014-07-21,2.61,2.61,2.58,2.59,53199828.0,138149792.0
2014-07-22,2.58,2.61,2.58,2.6,70218371.0,182250512.0
2014-07-23,2.6,2.61,2.59,2.6,64424214.0,167686448.0
2014-07-24,2.6,2.64,2.6,2.63,124515307.0,327063104.0
2014-07-25,2.64,2.66,2.63,2.66,90290400.0,239362688.0
2014-07-28,2.67,2.74,2.67,2.72,287346049.0,780449664.0
2014-07-29,2.72,2.73,2.7,2.72,147649686.0,401561728.0
2014-07-30,2.72,2.72,2.69,2.7,125317243.0,339551744.0
2014-07-31,2.7,2.72,2.69,2.72,98564395.0,266562208.0
2014-08-01,2.72,2.74,2.71,2.72,135479982.0,369978464.0
2014-08-04,2.72,2.74,2.71,2.73,129683744.0,353362656.0
2014-08-05,2.73,2.74,2.7,2.72,135694693.0,368653760.0
2014-08-06,2.71,2.72,2.69,2.71,96211255.0,259875184.0
2014-08-07,2.7,2.71,2.66,2.66,135086106.0,363092992.0
2014-08-08,2.66,2.67,2.63,2.66,111136093.0,295163840.0
2014-08-11,2.66,2.72,2.65,2.69,112088857.0,301213120.0
2014-08-12,2.7,2.7,2.66,2.67,63749441.0,170637056.0
2014-08-13,2.67,2.68,2.65,2.66,101002325.0,269019840.0
2014-08-14,2.66,2.68,2.65,2.66,70643147.0,188247728.0
2014-08-15,2.66,2.67,2.65,2.66,65272223.0,173885552.0
2014-08-18,2.66,2.68,2.65,2.66,101670355.0,270731296.0
2014-08-19,2.66,2.66,2.65,2.66,68724549.0,182500048.0
2014-08-20,2.66,2.67,2.65,2.66,62995675.0,167408800.0
2014-08-21,2.66,2.66,2.63,2.65,79112114.0,209451072.0
2014-08-22,2.65,2.66,2.64,2.66,60631907.0,160718144.0
2014-08-25,2.66,2.66,2.63,2.65,82083855.0,217130608.0
